Timestamp :),Title,"First Author (Last, First) (no middle initials)",Publication Date (YYYY-MM),"Reviewer (your name, First Last i.e. Meghan Cum)","Verifier (name, good or bad)","Meets the sufficient criteria: uses mice or rats, is not a review or protocol paper, tests for social memory/recognition/discrimination",Species,Wild Rodents Used? (like literally caught from the wild),Subject Strain  (i.e. C57BL6J or Sprague-Dawley) if multiple strains were used separate them by a semi colon and if mixed state mixed i.e. 129/SvJ mixed C57BL/6J; 129/SvJ mixed Swiss black,Final Strain,Subject Type,Subject Age,Subject Sex,Subject Housing,"Social Agent: degree of familiarity (if subject is exposed to a social agent ONLY twice, each trial being 5 or less minutes, the degree of familiarity is 5 min or less, NOT the total time exposed to the social agent) ",Was odor used?,Subject Social Rank,Intertrial Interval (ITI) (time between trials),Social Agent Strain ,Social Agent Age (check all that apply),Social Agent Sex,"If female, ovariectiomized?",Social Agent Identity,Social Agent Housing,Social Agent Rank,Social Agent Type,Social Discrimination Tested? i.e. novel and familiar social agents presented at the *same time* to the subject,Additional novel social agent used at all? ,Qualities Shared w/ Subject Mouse (i.e. same age between social agents and subject) [Social Agent],Do you have questions on this paper/should Meghan look this one over? ,"If you answered yes to the previous question, what concerns/questions did you have specifically on this paper? "
6/16/2022 16:43:19,Behavioral deficits and progressive neuropathology in progranulin-deficient mice: A mouse model of frontotemporal dementia,"Yin, Fangfang",2010-12,Ryo Iwata,,yes,Mice,no,C57BL/6 mixed C57BL/6J mixed CD1,C57BL/6 mix,both,does not specify,Does not specify,Does not specify,10 minutes,animals always present,Does not specify,not specified,Does not specify,does not specify,always female,,unspecified female,does not specify,Does not specify,WT (wild type),yes,Yes,None,"Yes, this one was tricky.",Subject strain is hard to follow. Not sure if the strain is all the ones mentioned in the paper that is referenced.https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2812536/
3/1/2022 10:55:55,Learning and Memory and Synaptic Plasticity Are Impaired in a Mouse Model of Rett Syndrome,"Moretti, Paolo",2006-01,Meghan Cum,,yes,Mice,no,129/SvEv,129,both,adult (week not specified),Does not specify,Does not specify,5 min exposure or less,animals always present,Does not specify,over 6 hr - 24 hr,C57BL/6J,juvenile (3-7 weeks or week not specified),always male,,juvenile male,Does not specify,Does not specify,WT (wild type),no,No,,,
3/1/2022 11:13:32,Early life modulators and predictors of adult synaptic plasticity,"Akers, Katherine",2006-07,Meghan Cum,,yes,Rats,no,Long-Evans,Long Evans,WT (wild type),adult (12-24 weeks),Does not specify,singly-housed,15 minutes,animals always present,Does not specify,"1-5 minutes, over 5 min - less than an hour, over 6 hr - 24 hr",Long-Evans,adult (12-24 weeks),Does not specify,,adult not specified,singly-housed,Does not specify,WT (wild type),no,No,"Age, Strain, Housing History, Type (WT vs transgenic)",,
3/24/2022 13:10:08,"Pharmacological effects of Ibuprofen on learning and memory, muscarinic receptors gene expression and APP isoforms level in pre-frontal cortex of AlCl3-induced toxicity mouse model","Hashmi, Aisha",2015-04,Meghan Cum,,yes,Mice,no,BALB/c,BALB/c,WT (wild type),Does not specify,Does not specify,Does not specify,10 minutes,animals always present,Does not specify,over 5 min - less than an hour,Does not specify,Does not specify,Does not specify,,does not specify,Does not specify,Does not specify,WT (wild type),yes,Yes,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.",
3/30/2022 15:35:44,The selective 5-HT6 receptor antagonist SLV has putative cognitive- and social interaction enhancing properties in rodent models of cognitive impairment,"de Bruin, N.M.W.J.",2016-09,Jocelyn Santiago Perez,,yes,Rats,no,Wistar (Han) rats,Wistar,WT (wild type),young adult (8-12 weeks),Does not specify,singly-housed,5 min exposure or less,animals always present,Does not specify,1-6 hr,Wistar (Han) rat,adult (week not specified),Does not specify,,adult not specified,group-housed,Does not specify,WT (wild type),no,No,"Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/1/2022 11:35:18,Double Dissociation of the Roles of Metabotropic Glutamate Receptor 5 and Oxytocin Receptor in Discrete Social Behaviors,"Mesic, Ivana",2015-09,Meghan Cum,,yes,Mice,no,C57BL/6J,C57BL/6,"transgenic (Cre or Flp line, KO line)",young adult (8-12 weeks),Does not specify,singly-housed,5 min exposure or less,animals always present,Does not specify,not specified, C57BL/6N,young adult (8-12 weeks),always male,,adult male,Does not specify,Does not specify,WT (wild type),yes,Yes,"Age, Strain","No, I feel confident, and I double-checked all my answers before submitting.",
4/4/2022 16:40:25,Epobis is a Nonerythropoietic and Neuroprotective Agonist of the Erythropoietin Receptor with Anti-Inflammatory and Memory Enhancing Effects,"Dmytriyeva, Oksana",2016-12,Jocelyn Santiago Perez,"Erika Wangia, good",yes,Rats,no,Wistar rats,Wistar,WT (wild type),adult (week not specified),Does not specify,Does not specify,5 min exposure or less,animals always present,Does not specify,1-6 hr,Does not specify,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,Does not specify,Does not specify,WT (wild type),no,Yes,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.",
4/14/2022 11:58:47,An Allosteric Modulator of the α7 Nicotinic Acetylcholine Receptor Possessing Cognition-Enhancing Properties in Vivo,"Timmermann, Daniel",2007-10,Erika Wangia,,yes,Rats,no,Sprague-Dawley,Sprague Dawley,WT (wild type),"young adult (8-12 weeks), adult (12-24 weeks)",Does not specify,group-housed,5 min exposure or less,animals always present,Does not specify,1-6 hr,Sprague-Dawley,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,group-housed,Does not specify,WT (wild type),no,No,"Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/15/2022 10:06:10,4-(2-[2-(2(R)-Methylpyrrolidin-1-yl)ethyl]benzofuran-5-yl)benzonitrile and Related 2-Aminoethylbenzofuran H3 Receptor Antagonists Potently Enhance Cognition and Attention,"Cowart, Marlon",2005-01,Naeliz Lopez,,yes,Rats,no,Does not specify,Does not specify,WT (wild type),adult (week not specified),Does not specify,Does not specify,Does not specify,animals always present,Does not specify,"over 5 min - less than an hour, 1-6 hr",Does not specify,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,Does not specify,Does not specify,WT (wild type),no,No,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.",
4/22/2022 12:43:01,Maturation of newborn neurons predicts social memory persistence in mice,"Jaimes, Laura",2020-07,Ezra Wright,"Naeliz, good",yes,Mice,no,Swiss; C57/BL6,"Swiss, C57BL/6",WT (wild type),young adult (8-12 weeks),Does not specify,group-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Swiss; C57/BL6,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,group-housed,Does not specify,WT (wild type),no,No,"Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
